EndUse,Run name,FuelType,0
Cooling,l_a_2126_dg_init_intgain,Electricity,522.35
Cooling,l_a_2126_dg_init_intgain,Natural Gas,0.0
Cooling,l_b_2126_dg0_intgain,Electricity,715.31
Cooling,l_b_2126_dg0_intgain,Natural Gas,0.0
Cooling,l_c_2126_dg4_intgain,Electricity,478.74
Cooling,l_c_2126_dg4_intgain,Natural Gas,0.0
Cooling,l_d_2126_dg5_intgain,Electricity,539.81
Cooling,l_d_2126_dg5_intgain,Natural Gas,0.0
Cooling,l_e_2126_dg6_intgain,Electricity,622.5
Cooling,l_e_2126_dg6_intgain,Natural Gas,0.0
Cooling,l_f_2126_tg4_intgain,Electricity,525.04
Cooling,l_f_2126_tg4_intgain,Natural Gas,0.0
Cooling,l_g_2126_tg5_intgain,Electricity,537.65
Cooling,l_g_2126_tg5_intgain,Natural Gas,0.0
Cooling,l_h_2126_tg6_intgain,Electricity,660.35
Cooling,l_h_2126_tg6_intgain,Natural Gas,0.0
Cooling,m_a_2126_dg_init_intgain,Electricity,380.87
Cooling,m_a_2126_dg_init_intgain,Natural Gas,0.0
Cooling,m_b_2126_dg0_intgain,Electricity,502.59
Cooling,m_b_2126_dg0_intgain,Natural Gas,0.0
Cooling,m_c_2126_dg4_intgain,Electricity,324.17
Cooling,m_c_2126_dg4_intgain,Natural Gas,0.0
Cooling,m_d_2126_dg5_intgain,Electricity,369.63
Cooling,m_d_2126_dg5_intgain,Natural Gas,0.0
Cooling,m_e_2126_dg6_intgain,Electricity,426.02
Cooling,m_e_2126_dg6_intgain,Natural Gas,0.0
Cooling,m_f_2126_tg4_intgain,Electricity,343.49
Cooling,m_f_2126_tg4_intgain,Natural Gas,0.0
Cooling,m_g_2126_tg5_intgain,Electricity,354.09
Cooling,m_g_2126_tg5_intgain,Natural Gas,0.0
Cooling,m_h_2126_tg6_intgain,Electricity,442.36
Cooling,m_h_2126_tg6_intgain,Natural Gas,0.0
Cooling,n_a_2126_dg_init_cc,Electricity,786.62
Cooling,n_a_2126_dg_init_cc,Natural Gas,0.0
Cooling,n_b_2126_dg0_cc,Electricity,996.88
Cooling,n_b_2126_dg0_cc,Natural Gas,0.0
Cooling,n_c_2126_dg4_cc,Electricity,673.1
Cooling,n_c_2126_dg4_cc,Natural Gas,0.0
Cooling,n_d_2126_dg5_cc,Electricity,742.44
Cooling,n_d_2126_dg5_cc,Natural Gas,0.0
Cooling,n_e_2126_dg6_cc,Electricity,828.16
Cooling,n_e_2126_dg6_cc,Natural Gas,0.0
Cooling,n_f_2126_tg4_cc,Electricity,693.59
Cooling,n_f_2126_tg4_cc,Natural Gas,0.0
Cooling,n_g_2126_tg5_cc,Electricity,709.71
Cooling,n_g_2126_tg5_cc,Natural Gas,0.0
Cooling,n_h_2126_tg6_cc,Electricity,837.54
Cooling,n_h_2126_tg6_cc,Natural Gas,0.0
Cooling,o_a_2124_dg_init_cc,Electricity,987.6
Cooling,o_a_2124_dg_init_cc,Natural Gas,0.0
Cooling,o_b_2124_dg0_cc,Electricity,1260.1
Cooling,o_b_2124_dg0_cc,Natural Gas,0.0
Cooling,o_c_2124_dg4_cc,Electricity,800.43
Cooling,o_c_2124_dg4_cc,Natural Gas,0.0
Cooling,o_d_2124_dg5_cc,Electricity,890.29
Cooling,o_d_2124_dg5_cc,Natural Gas,0.0
Cooling,o_e_2124_dg6_cc,Electricity,1008.18
