,"market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, double skin facade","market for curtain wall, ccf","market for curtain wall, triple glazing, two coatings, high perf alu frame"
322,205.97018711467015,380.03856989174983,180.28421656875977,246.91139365223523,178.79236850973263,146.49361050396553,183.40017682357436,214.8281290016078,179.60580242718478,145.6768240735514,173.9505764207719,317.2324884371828,465.8860922213532,205.61251547024335
323,217.19091091553966,455.6455804183031,190.57302690127506,245.29168259215345,189.13204736523994,155.28949218024775,192.75640365669992,224.87940025996306,190.64082892125515,153.7744901865388,182.72759967292987,337.6292704907917,486.7919376073333,217.63068765041496
324,204.03126975651472,308.2212989962174,177.99724083705877,238.3357030320622,176.25938166882312,143.34570210161004,180.81527083402426,212.9984062460333,177.3996740510043,142.20070868619374,171.3006243341139,312.03684705095435,462.9005345485968,203.88662740530165
325,231.50241022161077,551.4090234848004,205.17359251461838,263.89249247661775,203.4796070355474,170.79111144299364,209.35809961206388,242.83661612220965,204.50388983404332,169.76260560744385,198.71597618126495,367.9074566147395,500.49757139808537,231.07963173326758
326,216.73604028862752,306.7142933780944,190.4739864022075,256.8996968856539,188.8204259502198,156.1096682865151,194.52034082225083,227.85664478455462,189.57312487835893,155.3538675973333,183.5830661296818,336.97904088362316,498.1478609497209,216.45681552382584
327,192.75611268115932,305.62455066861895,168.14286725502197,232.87014418655087,166.45773890793478,135.48939714777822,172.55288030856852,204.82995078878287,167.1911648290635,134.75294960029993,161.90750773404602,294.6782878274678,449.29199723005905,192.6396665933993
328,201.4073646445674,477.7264548474051,175.7049966042471,255.99385576204293,174.2353388075401,142.06320560142012,179.4821796460936,211.5970293118846,175.0909690427244,141.20404912792688,168.95179107227315,309.47025283979826,465.78692613849455,201.10334642055557
329,199.40016708174687,328.1853944477085,174.810233448691,259.2500006123475,172.87415797558924,140.52953773842424,177.548778009724,208.54405903733058,173.71384202511987,139.68638894701496,167.44016544453555,306.2947094377738,434.71117635791205,199.19481817963344
330,207.77198518083537,324.29184479940875,182.16532058029054,243.31358980200562,180.39901052908513,147.87011704292593,186.14163601966425,219.3767205654105,181.7543982900236,146.50914169461595,174.43197052637242,322.85199799133875,478.0531949785962,207.8914689893036
331,195.42698548611793,331.2004408958261,171.12801026239794,234.89725314579601,169.2700215812118,139.06723523279408,174.63683035799014,205.8238571121515,169.96015869946535,138.37425388934435,165.28954849531607,302.7584701963521,451.07547224471404,195.09023497237732
332,215.80963949452692,431.8640736881759,189.09917233782622,252.55185889271024,187.08840176418315,153.79638886541318,192.7377686211167,227.02178258027615,188.08692547350734,152.79374932041827,182.6411077160031,333.4497102194727,490.96881212864895,215.72305213841963
333,193.86858724719687,241.19217850761072,169.70110009348204,233.95184140755666,167.7900575612093,137.06097453622624,173.79114738387335,205.77239308475336,168.79816448406814,136.04871014391418,162.7728887530513,298.6133750694364,451.710466559275,193.77021439485097
334,197.61192019995073,313.0862308307845,172.06945236799888,231.0612511431612,170.53054080463752,138.81901534225696,174.81588816609843,205.85779549915307,171.360210171166,137.985925648046,166.24551461983705,301.797301338597,448.307673291083,197.28709809419126
335,197.99910308824343,314.16550269448436,173.33376175083188,256.67805245608827,171.62768850043102,141.01715008589866,176.7824113169263,207.73495883954286,172.32247937466735,140.31949512803885,167.31283316347864,305.9678402619423,453.7336402002584,197.42551319887122
336,231.16999447558467,361.52371477586763,206.08988885432257,267.77948209023447,204.06337504457494,172.55623758478336,209.43515243760427,241.75066446699128,204.98817878609142,171.62761761036327,199.40491221344914,370.16956488072526,501.46943416136895,231.00710253192992
337,195.5297700367799,398.21945274123556,170.54854106035953,236.09382354713748,168.77194602079697,137.207942405917,174.23213058546744,206.35326747037527,169.55620406268875,136.42044647599405,164.32090961875548,297.7525486506943,446.1497578927262,195.43289747569986
338,209.0625007919131,331.8930442117038,182.9137941767936,245.31641414763234,181.32659515549528,149.08260773864325,186.3242911320865,218.97217976598313,182.4095246175789,147.9952128520152,176.17146456884603,323.92614355876555,484.5950973318429,208.9767917496461
339,211.8234016739544,343.8992708637363,185.53586812014444,247.43318618010005,183.71072441783988,150.74560550426074,188.97893501799078,222.06839303106182,184.60977545830684,149.8428322169979,178.979802266327,325.47448789710484,477.08586003758415,211.53197463290954
340,185.84217473700608,332.1232139632608,161.5172246170823,233.81746524010993,159.94265094495225,128.65229766737127,164.13942810801512,193.94803421385498,160.7248927081485,127.86683547696411,154.94668221239522,282.3862970402233,421.1724801956867,185.55447742504222
341,196.79097597695105,378.9565889417655,171.94257358459996,235.47644498231531,170.481241426823,139.24096423824088,175.65032253042588,206.71789517096525,171.42996179926033,138.28833364370826,165.4607853586433,302.4294699082681,445.90636441818083,196.37973336584758
342,201.13116336777114,266.6695104748538,175.11796099676803,251.8725644060828,173.73015675992883,141.83267586958584,180.43956443492678,214.2796159549533,174.59076894544253,140.96851491454768,168.93277985100076,310.65449263442304,466.44089676155164,200.86079725817578
343,200.95586110143657,298.55721267243564,176.17339492677525,231.14901628745253,174.27560975811684,142.34817026211402,179.5484295194479,210.97809889080753,175.08904572029627,141.5313789375032,169.2691342446911,310.09699709185594,448.03403398799327,200.43245660731978
344,196.93390245710523,446.1875211442616,171.9710432188559,242.98438682627676,170.44353867348363,139.8276042649869,176.52276211881423,208.6111484743935,171.27949231945584,138.98820391690757,166.63580489692202,304.0210071018266,448.48009285091354,196.45270141846592
