Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_9_CH,i_i_2126_dsf_mean_CH,-109.8384547010298
climate change,climate change total,kg CO2-Eq,step_9_CH,i_i_2126_dsf_mean_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_i_2126_dsf_mean_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_i_2126_dsf_mean_FR,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_i_2126_dsf_mean_PL,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_j_2126_dsf_max_BE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_j_2126_dsf_max_CH,-72.6936116100666
climate change,climate change total,kg CO2-Eq,step_9_CH,i_j_2126_dsf_max_DE,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_j_2126_dsf_max_DK,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_j_2126_dsf_max_FR,
climate change,climate change total,kg CO2-Eq,step_9_CH,i_j_2126_dsf_max_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_b_2126_dg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_b_2126_dg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_b_2126_dg5k_DE,-378.44875795028986
climate change,climate change total,kg CO2-Eq,step_9_DE,i_b_2126_dg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_b_2126_dg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_b_2126_dg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_c_2126_tg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_c_2126_tg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_c_2126_tg5k_DE,-642.1380296785202
climate change,climate change total,kg CO2-Eq,step_9_DE,i_c_2126_tg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_c_2126_tg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_c_2126_tg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_d_2126_tg5x_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_d_2126_tg5x_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_d_2126_tg5x_DE,-583.6350327263874
climate change,climate change total,kg CO2-Eq,step_9_DE,i_d_2126_tg5x_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_d_2126_tg5x_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_d_2126_tg5x_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_e_2126_ccf_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_e_2126_ccf_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_e_2126_ccf_DE,-579.9247533831225
climate change,climate change total,kg CO2-Eq,step_9_DE,i_e_2126_ccf_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_e_2126_ccf_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_e_2126_ccf_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_f_2126_dg_vacuum_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_f_2126_dg_vacuum_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_f_2126_dg_vacuum_DE,-323.9898906996584
climate change,climate change total,kg CO2-Eq,step_9_DE,i_f_2126_dg_vacuum_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_f_2126_dg_vacuum_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_f_2126_dg_vacuum_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_g_2126_dg_smart_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_g_2126_dg_smart_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_g_2126_dg_smart_DE,-1004.10788808267
climate change,climate change total,kg CO2-Eq,step_9_DE,i_g_2126_dg_smart_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_g_2126_dg_smart_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_g_2126_dg_smart_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_h_2126_dsf_min_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_h_2126_dsf_min_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_h_2126_dsf_min_DE,-534.8332389656924
climate change,climate change total,kg CO2-Eq,step_9_DE,i_h_2126_dsf_min_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_h_2126_dsf_min_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_h_2126_dsf_min_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_i_2126_dsf_mean_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_i_2126_dsf_mean_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_i_2126_dsf_mean_DE,-425.967737465822
climate change,climate change total,kg CO2-Eq,step_9_DE,i_i_2126_dsf_mean_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_i_2126_dsf_mean_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_i_2126_dsf_mean_PL,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_j_2126_dsf_max_BE,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_j_2126_dsf_max_CH,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_j_2126_dsf_max_DE,-328.4681243739672
climate change,climate change total,kg CO2-Eq,step_9_DE,i_j_2126_dsf_max_DK,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_j_2126_dsf_max_FR,
climate change,climate change total,kg CO2-Eq,step_9_DE,i_j_2126_dsf_max_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_b_2126_dg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_b_2126_dg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_b_2126_dg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_b_2126_dg5k_DK,-207.63472390565113
climate change,climate change total,kg CO2-Eq,step_9_DK,i_b_2126_dg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_b_2126_dg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_c_2126_tg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_c_2126_tg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_c_2126_tg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_c_2126_tg5k_DK,-327.3612788420287
climate change,climate change total,kg CO2-Eq,step_9_DK,i_c_2126_tg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_c_2126_tg5k_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_d_2126_tg5x_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_d_2126_tg5x_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_d_2126_tg5x_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_d_2126_tg5x_DK,-283.9779994257288
climate change,climate change total,kg CO2-Eq,step_9_DK,i_d_2126_tg5x_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_d_2126_tg5x_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_e_2126_ccf_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_e_2126_ccf_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_e_2126_ccf_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_e_2126_ccf_DK,-176.7206662763992
climate change,climate change total,kg CO2-Eq,step_9_DK,i_e_2126_ccf_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_e_2126_ccf_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_f_2126_dg_vacuum_BE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_f_2126_dg_vacuum_CH,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_f_2126_dg_vacuum_DE,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_f_2126_dg_vacuum_DK,-182.5109661935213
climate change,climate change total,kg CO2-Eq,step_9_DK,i_f_2126_dg_vacuum_FR,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_f_2126_dg_vacuum_PL,
climate change,climate change total,kg CO2-Eq,step_9_DK,i_g_2126_dg_smart_BE,
