,"market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, double skin facade","market for curtain wall, ccf","market for curtain wall, triple glazing, two coatings, high perf alu frame"
315,2.6144005088252728e-05,5.073981722459548e-05,2.337718549752226e-05,2.8172993122926683e-05,2.3166336409687184e-05,2.0034847385985997e-05,2.3353755514692777e-05,2.625041535696012e-05,2.3263578559345944e-05,1.993720497057192e-05,2.3047629606876015e-05,3.760648952397941e-05,5.1379394745408694e-05,2.5875576450946326e-05
316,2.658477539750211e-05,3.301259428532908e-05,2.3437687847495426e-05,2.9351946612440093e-05,2.3224920363191522e-05,1.879728138026201e-05,2.342520944368987e-05,2.6546451273358583e-05,2.3323173473911133e-05,1.8698622950279807e-05,2.2045412670200413e-05,3.9749626417201715e-05,5.6803529512202834e-05,2.6145873358769315e-05
317,2.4521292984590352e-05,4.531337241895779e-05,2.162526384994953e-05,2.7885340028351573e-05,2.1464027198164676e-05,1.7804595964055945e-05,2.1684401236380547e-05,2.4731141693771168e-05,2.157472472497587e-05,1.7693440606366247e-05,2.091840097156801e-05,3.5704016991389994e-05,4.718286752320019e-05,2.4290390318404343e-05
318,2.2500985807851086e-05,6.216288088471565e-05,2.0046939848926875e-05,2.4217678435893736e-05,1.995560749024169e-05,1.6876269431833255e-05,2.022950973378376e-05,2.2814599934585048e-05,2.006531606322326e-05,1.6766108205583154e-05,1.9234344343771774e-05,3.331086334565774e-05,4.7648311243562406e-05,2.2266795491837055e-05
319,2.1411149798227888e-05,3.688961714578585e-05,1.9109740724400666e-05,2.291654925494942e-05,1.889501173739807e-05,1.6106832740215754e-05,1.9100423437638977e-05,2.1650025802091147e-05,1.89714582321469e-05,1.603007067622393e-05,1.856524988120058e-05,3.193434776791337e-05,4.50726139271751e-05,2.1239202528251688e-05
320,2.3831213944102244e-05,3.363488508702477e-05,2.1010926689839472e-05,2.6485451703241422e-05,2.0800557096913723e-05,1.692083646295352e-05,2.097716332223231e-05,2.4058697949116754e-05,2.0901830853671692e-05,1.6819146062606196e-05,1.9938871723980033e-05,3.500279849167865e-05,4.919128049642547e-05,2.370548299369706e-05
321,2.3768834032620538e-05,4.558857625296766e-05,2.1189296945503752e-05,2.517882762373895e-05,2.1003420520131512e-05,1.7573267392205453e-05,2.125477508373712e-05,2.4155156487451816e-05,2.1110705739202324e-05,1.746553956845034e-05,2.0274011607869765e-05,3.5469843065690524e-05,4.737179828479445e-05,2.3652448295255416e-05
322,2.0530754815473978e-05,2.902212059353857e-05,1.784247395088292e-05,2.1795365156571827e-05,1.760125018971466e-05,1.3931218472752323e-05,1.7774613039663348e-05,2.0780686581820688e-05,1.76861177824394e-05,1.3846001133275813e-05,1.7099541769075497e-05,2.854517881158859e-05,3.805798732261629e-05,2.043396127612924e-05
323,2.5052354704592822e-05,4.281358661335946e-05,2.1736639658335163e-05,2.6415697502901937e-05,2.156656649758546e-05,1.576489742866427e-05,2.172726758912667e-05,2.5249545000691893e-05,2.167373834059074e-05,1.5657283635208835e-05,1.91593532834225e-05,3.479737493407784e-05,4.9646483656659406e-05,2.4928142704845532e-05
324,2.8070586542901495e-05,5.092244856201076e-05,2.536406699090113e-05,3.057359010657194e-05,2.512537745331116e-05,2.164043664614325e-05,2.5329887422940075e-05,2.8247573996533798e-05,2.523915584346677e-05,2.1526189354972525e-05,2.460627954844053e-05,4.3445145971867e-05,5.306194725780169e-05,2.78385546276514e-05
325,2.244270849786709e-05,4.91546072156873e-05,2.000328308701198e-05,2.4839607767321242e-05,1.9666430220180757e-05,1.6048220541031878e-05,1.9847599957266706e-05,2.2460255219608182e-05,1.9773534914491142e-05,1.5940674378887734e-05,1.868359544943882e-05,3.360709090723508e-05,4.835822635286621e-05,2.209791566803239e-05
326,3.2519440037972306e-05,6.008154865229767e-05,2.8339581235462115e-05,3.493615098437905e-05,2.79061681477327e-05,2.1913080985867374e-05,2.841423864450081e-05,3.326881841148815e-05,2.807600732964162e-05,2.1742542466481893e-05,2.6728919103594043e-05,4.695790186365317e-05,6.451950473968684e-05,3.225267683596204e-05
327,2.5673691088025304e-05,4.030721205778442e-05,2.262710122839573e-05,2.8417650380733884e-05,2.240252360698214e-05,1.7804062118717218e-05,2.257370893031751e-05,2.583525991648359e-05,2.2546907840426156e-05,1.7659082478059475e-05,2.0920096183150938e-05,3.7312026178578454e-05,5.3569179550516004e-05,2.5492889001745475e-05
